Word	Katakana	Emotion	
幻滅	ゲンメツ	失	
恋	コイ	好幸切鬱	
恋い焦がれる	コイコガレル	好切鬱苦	
恋心	コイゴコロ	好幸切鬱	
恋しい	コイシイ	好切鬱	
恋しさ	コイシサ	好切鬱	
恋する	コイスル	好幸切鬱	
冀う	コイネガウ	願	
恋う	コウ	好幸切鬱	
厚意	コウイ	親	
好意	コウイ	好親	
光栄	コウエイ	誇	
厚恩	コウオン	感	
後悔	コウカイ	悔	
交歓	コウカン	楽親	
好感	コウカン	好	
慷慨	コウガイ	辛苦	
好機	コウキ	喜	
耿耿	コウコウ	ふ鬱	
恍惚	コウコツ	喜幸興	
恍惚感	コウコツカン	喜幸興	
厚志	コウシ	親	
昂進	コウシン	興	
厚情	コウジョウ	親	
困じる	コウジル	困	
困ずる	コウズル	困	
昂然	コウゼン	興	
浩然	コウゼン	安	
紅潮	コウチョウ	恥喜	
幸福	コウフク	幸	
幸福感	コウフクカン	幸	
公憤	コウフン	怒不	
興奮	コウフン	興	
昂揚	コウヨウ	興	
荒涼	コウリョウ	寂	
紅涙	コウルイ	悲	
小煩い	コウルサイ	嫌Ｆ	
声を荒立てる	コエオアラダテル	怒興	
声が潤む	コエガウルム	悲	
小躍り	コオドリ	喜	
焦がれる	コガレル	願	
小汚い	コギタナイ	嫌Ｆ	
酷悪	コクアク	嫌Ｆ	
焦げ臭い	コゲクサイ	嫌Ｆ	
心地良い	ココチヨイ	安	
心地良さ	ココチヨサ	安	
心憂い	ココロウレイ	鬱	
心後れ	ココロオクレ	怖ふ	
心悲しい	ココロカナシイ	悲	
心悲しさ	ココロカナシサ	悲	
心が痛む	ココロガイタム	苦	
心が動かされる	ココロガウゴカサレル	動	
心が重い	ココロガオモイ	辛	
心懸かり	ココロガカリ	心	
心が傷付く	ココロガキズツク	辛悲	
心が傷付けられる	ココロガキズツケラレル	辛悲	
心が弾む	ココロガハズム	幸喜	
心が張り詰める	ココロガハリツメル	緊	
心が細る	ココロガホソル	辛	
心苦しい	ココログルシイ	情心	
心苦しさ	ココログルシサ	情心	
心淋しい	ココロサビシイ	寂	
心遣い	ココロズカイ	感	
心強い	ココロズヨイ	安	
心憎い	ココロニクイ	尊	
心の痛み	ココロノイタミ	辛	
心の傷	ココロノキズ	辛	
心残り	ココロノコリ	心不残	
心細い	ココロボソイ	ふ心	
心細さ	ココロボソサ	ふ心	
心持ちが好くない	ココロモチガヨクナイ	Ｆ不ふ	
心持ちが悪い	ココロモチガワルイ	Ｆ不ふ	
