Word	Katakana	Emotion	
狂い怒る	クルイオコル	怒	
苦しい	クルシイ	苦	
苦しさ	クルシサ	苦	
苦しみ	クルシミ	苦	
苦しみ悶える	クルシミモダエル	苦	
苦しむ	クルシム	苦	
苦労	クロウ	苦辛	
具合が悪い	グアイガワルイ	心ふ苦辛	
具合悪い	グアイワルイ	心ふ苦辛	
愚図愚図	グズグズ	不	
愚図る	グズル	不	
ぐっと来る	グットクル	動	
敬愛	ケイアイ	尊親	
慶賀	ケイガ	喜祝	
慶祝	ケイシュク	喜祝	
慶する	ケイスル	喜祝	
傾倒	ケイトウ	好尊親	
敬服	ケイフク	尊	
敬慕	ケイボ	尊	
気圧される	ケオサレル	悔	
汚らわしい	ケガラワシイ	不嫌Ｆ	
毛嫌い	ケギライ	嫌	
気色ばむ	ケシキバム	怒	
懸想	ケソウ	好	
気怠い	ケダルイ	怠	
血相を変える	ケッソウヲカエル	動怒	
血涙	ケツルイ	怒悲	
懸念	ケネン	ふ心	
けばけばしい	ケバケバシイ	不嫌	
煙い	ケムイ	不	
煙たい	ケムタイ	不	
けろっ	ケロッ	穏	
けろり	ケロリ	穏	
慊焉	ケンエン	不幸	
倦厭	ケンエン	不	
嫌悪	ケンオ	嫌	
嫌悪感	ケンオカン	嫌	
嫌忌	ケンキ	嫌	
倦怠	ケンタイ	不	
倦怠感	ケンタイカン	怠	
権幕	ケンマク	怒	
激越	ゲキエツ	興怒	
激語	ゲキゴ	興怒	
激賞	ゲキショウ	祝	
激情	ゲキジョウ	興	
激する	ゲキスル	興怒	
激怒	ゲキド	怒	
激憤	ゲキフン	怒	
逆鱗に触れる	ゲキリンニフレル	怒	
げっ	ゲッ	驚不	
激昂	ゲッコウ	怒興	
げっそり	ゲッソリ	怠鬱	
下品	ゲヒン	不嫌	
下劣	ゲレツ	不嫌	
元気	ゲンキ	気	
減退	ゲンタイ	鬱怠	
げんなり	ゲンナリ	不怠	
幻滅	ゲンメツ	失	
恋	コイ	好切	
恋い焦がれる	コイコガレル	好切	
恋心	コイゴコロ	好切	
恋しい	コイシイ	好切悲	
恋しさ	コイシサ	好切悲	
恋する	コイスル	好切	
冀う	コイネガウ	願	
恋う	コウ	好切	
厚意	コウイ	好親	
好意	コウイ	好親	
光栄	コウエイ	誇	
厚恩	コウオン	感尊	
後悔	コウカイ	悔	
交歓	コウカン	楽喜	
好感	コウカン	好	
慷慨	コウガイ	怒	
好機	コウキ	興	
耿耿	コウコウ	ふ心	
恍惚	コウコツ	好	
恍惚感	コウコツカン	好	
厚志	コウシ	尊親安恐	
昂進	コウシン	興	
厚情	コウジョウ	尊親安恐	
困じる	コウジル	困	
困ずる	コウズル	困	
昂然	コウゼン	誇興	
浩然	コウゼン	穏	
紅潮	コウチョウ	恥怒	
幸福	コウフク	幸	
幸福感	コウフクカン	幸	
公憤	コウフン	怒	
興奮	コウフン	興	
昂揚	コウヨウ	興	
荒涼	コウリョウ	寂鬱不尊	
紅涙	コウルイ	悲	
小煩い	コウルサイ	不	
声を荒立てる	コエオアラダテル	怒	
声が潤む	コエガウルム	悲切寂	
小躍り	コオドリ	喜	
焦がれる	コガレル	尊願	
小汚い	コギタナイ	不	
酷悪	コクアク	嫌	
焦げ臭い	コゲクサイ	不	
心地良い	ココチヨイ	安	
心地良さ	ココチヨサ	安	
心憂い	ココロウレイ	鬱	
心後れ	ココロオクレ	鬱怖	
心悲しい	ココロカナシイ	悲	
心悲しさ	ココロカナシサ	悲	
心が痛む	ココロガイタム	悲憐	
心が動かされる	ココロガウゴカサレル	動	
心が重い	ココロガオモイ	悲切	
心懸かり	ココロガカリ	ふ心	
心が傷付く	ココロガキズツク	悲切	
心が傷付けられる	ココロガキズツケラレル	悲切	
心が弾む	ココロガハズム	楽	
心が張り詰める	ココロガハリツメル	焦ふ	
心が細る	ココロガホソル	ふ	
心苦しい	ココログルシイ	苦き	
心苦しさ	ココログルシサ	苦き	
心淋しい	ココロサビシイ	寂悲	
心遣い	ココロズカイ	安親	
心強い	ココロズヨイ	安	
心憎い	ココロニクイ	憎動興	
心の痛み	ココロノイタミ	辛	
心の傷	ココロノキズ	悲辛	
心残り	ココロノコリ	悔	
心細い	ココロボソイ	ふ心	
心細さ	ココロボソサ	ふ心	
心持ちが好くない	ココロモチガヨクナイ	ふ心	
心持ちが悪い	ココロモチガワルイ	ふ心	
心許ない	ココロモトナイ	ふ	
心安い	ココロヤスイ	安親	
心行く	ココロユク	安気	
快い	ココロヨイ	気	
快く思わない	ココロヨクオモワナイ	不嫌	
心を奪われる	ココロヲウバワレル	好	
心を砕く	ココロヲクダク	ふ心	
心を遣る	ココロヲヤル	親尊幸	
小淋しい	コサビシイ	寂	
小賢しい	コザカシイ	不嫌	
腰を抜かす	コシオヌカス	驚怖	
小癪	コシャク	不嫌	
小突かれる	コズカレル	苦嫌不	
姑息	コソク	嫌不	
こそばゆい	コソバユイ	恥	
小面憎い	コヅラニクイ	嫌憎	
孤独	コドク	悲寂切	
孤独感	コドクカン	悲寂切	
小憎らしい	コニクラシイ	憎	
好ましい	コノマシイ	好	
好ましさ	コノマシサ	好	
好まない	コノマナイ	嫌	
好み	コノミ	好	
好む	コノム	好	
困り切る	コマリキル	困	
困り抜く	コマリヌク	困	
困り果てる	コマリハテル	困	
